date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,4.5035,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,4.2283,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,4.5768,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,4.7598,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,4.8784,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,5.0333,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,4.8344,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,4.9521,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,5.1848,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,5.36,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,5.5704,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,5.5765,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,5.4677,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,6.7895,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,7.9911,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,8.414,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,9.4792,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,8.2944,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,8.5268,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3597764079889176,0.0,0.10998,0.0,8.6347,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3006408766166029,0.0,0.11136,0.0,8.943,200000,200000.0,0.0,1.0
