date,open,high,low,close,volume
2020-02-07,4.574,4.950,4.573,4.822,965941.88
2020-02-08,4.817,4.835,4.485,4.647,1234406.02
2020-02-09,4.642,4.810,4.626,4.760,985383.90
2020-02-10,4.760,4.810,4.547,4.782,1026402.54
2020-02-11,4.774,5.237,4.696,5.118,1946745.80
2020-02-12,5.119,5.346,5.050,5.117,1592273.17
2020-02-13,5.121,5.274,4.838,4.919,2061445.94
2020-02-14,4.917,5.170,4.866,5.128,1221732.70
2020-02-15,5.130,5.159,4.384,4.608,1869691.28
2020-02-16,4.605,4.778,4.000,4.384,2256837.69
2020-02-17,4.386,4.431,3.904,4.274,1904662.63
2020-02-18,4.277,4.505,3.968,4.441,1513693.03
2020-02-19,4.441,4.704,4.044,4.148,1778122.27
2020-02-20,4.143,4.556,4.099,4.468,2241518.52
2020-02-21,4.464,4.989,4.412,4.962,4334831.35
2020-02-22,4.960,5.097,4.657,5.027,4089454.98
2020-02-23,5.020,5.100,4.739,4.808,3010097.42
2020-02-24,4.808,4.940,4.201,4.399,4888439.01
2020-02-25,4.397,4.420,3.993,4.051,3095092.65
2020-02-26,4.051,4.082,3.450,3.642,3821641.65
2020-02-27,3.643,3.862,3.348,3.697,4018400.46
2020-02-28,3.699,3.756,3.423,3.542,3971987.03
2020-02-29,3.541,3.690,3.437,3.449,1945540.88
2020-03-01,3.444,3.550,3.253,3.348,3230745.38
2020-03-02,3.344,3.774,3.331,3.710,2769487.79
2020-03-03,3.709,3.711,3.516,3.623,2749977.07
2020-03-04,3.625,3.898,3.623,3.746,3508114.08
2020-03-05,3.749,3.946,3.734,3.768,3435726.94
2020-03-06,3.766,3.885,3.705,3.862,2189424.78
2020-03-07,3.864,3.874,3.572,3.618,1450764.74
2020-03-08,3.619,3.619,3.050,3.086,3964459.90
2020-03-09,3.086,3.168,2.813,3.026,5368256.98
2020-03-10,3.026,3.203,2.881,3.060,3967772.99
2020-03-11,3.059,3.107,2.705,2.997,4033649.01
2020-03-12,2.997,3.028,1.476,1.599,9275162.70
2020-03-13,1.600,4.417,1.057,1.805,8134516.81
2020-03-14,1.801,1.980,1.679,1.834,5764295.38
2020-03-15,1.835,2.084,1.812,1.915,3926605.10
2020-03-16,1.917,1.918,1.490,1.663,3817031.29
2020-03-17,1.664,1.862,1.631,1.765,2421853.11
2020-03-18,1.764,1.844,1.646,1.810,2061962.25
2020-03-19,1.810,2.148,1.770,2.068,2743011.48
2020-03-20,2.070,2.484,1.811,2.161,5458078.54
2020-03-21,2.162,2.254,1.994,2.171,2625352.17
2020-03-22,2.169,2.234,1.908,1.918,1857852.35
