date,open,high,low,close,volume
2021-02-23,0.16660,0.19900,0.13257,0.18024,116581094
2021-02-24,0.18023,0.19900,0.16504,0.18174,60419538
2021-02-25,0.18190,0.19140,0.16000,0.16296,38587384
2021-02-26,0.16299,0.17205,0.14758,0.15511,28550048
2021-02-27,0.15527,0.16200,0.13560,0.14213,56118596
2021-02-28,0.14217,0.14221,0.11600,0.13111,160578453
2021-03-01,0.13111,0.17737,0.12978,0.17106,375259576
2021-03-02,0.17107,0.18251,0.14941,0.16025,101654159
2021-03-03,0.16001,0.16932,0.15708,0.15972,68101501
2021-03-04,0.15964,0.16290,0.14308,0.14900,66156190
2021-03-05,0.14931,0.15981,0.13941,0.15463,101811001
2021-03-06,0.15479,0.15717,0.14750,0.15577,51440395
2021-03-07,0.15574,0.16214,0.15321,0.15859,50767382
2021-03-08,0.15858,0.15945,0.14987,0.15464,58512847
2021-03-09,0.15481,0.20599,0.15184,0.17607,402676503
2021-03-10,0.17640,0.20112,0.16621,0.18172,296453888
2021-03-11,0.18169,0.19038,0.17429,0.18158,137079866
2021-03-12,0.18180,0.19749,0.17809,0.18520,291276044
2021-03-13,0.18528,0.20103,0.18221,0.19187,174626141
2021-03-14,0.19190,0.19399,0.17700,0.17980,114569131
2021-03-15,0.17978,0.26869,0.17883,0.21885,837795308
2021-03-16,0.21853,0.27369,0.20333,0.22165,1325951213
2021-03-17,0.22184,0.23888,0.21238,0.22036,375170181
2021-03-18,0.22040,0.22750,0.20750,0.21014,234814504
2021-03-19,0.21022,0.22560,0.20126,0.21204,188609934
2021-03-20,0.21209,0.24842,0.21004,0.21879,473765920
2021-03-21,0.21882,0.23924,0.21159,0.21739,376142854
2021-03-22,0.21763,0.22518,0.18506,0.19915,245396148
2021-03-23,0.19932,0.21067,0.18830,0.19362,209700183
2021-03-24,0.19356,0.20673,0.18150,0.18930,170985899
2021-03-25,0.18938,0.20163,0.18450,0.18939,144742679
2021-03-26,0.18940,0.20282,0.18940,0.20144,95318388
2021-03-27,0.20151,0.22700,0.19319,0.20250,269631404
2021-03-28,0.20250,0.20859,0.19438,0.20045,143446675
2021-03-29,0.20045,0.20541,0.19700,0.20093,124831321
2021-03-30,0.20091,0.20350,0.19153,0.19527,145989878
2021-03-31,0.19549,0.19637,0.17279,0.18851,167744787
2021-04-01,0.18852,0.20478,0.18368,0.19328,183406974
2021-04-02,0.19340,0.20000,0.19100,0.19323,105338547
2021-04-03,0.19327,0.19600,0.17925,0.18234,148249103
2021-04-04,0.18233,0.19360,0.18012,0.18694,107976127
2021-04-05,0.18694,0.21394,0.18021,0.19605,307844228
2021-04-06,0.19613,0.19746,0.18050,0.18663,251596363
2021-04-07,0.18663,0.18846,0.16773,0.17920,234453837
2021-04-08,0.17909,0.18800,0.17768,0.18549,128304723
2021-04-09,0.18545,0.19900,0.18500,0.18827,229772718
2021-04-10,0.18842,0.19515,0.18589,0.18885,187019005
2021-04-11,0.18884,0.19350,0.18165,0.18734,187684915
2021-04-12,0.18737,0.19093,0.18367,0.18641,170715495
2021-04-13,0.18648,0.19604,0.18392,0.19258,212723570
2021-04-14,0.19263,0.26465,0.19053,0.23561,1656185813
2021-04-15,0.23568,0.23965,0.21257,0.22235,569020726
2021-04-16,0.22240,0.22420,0.19116,0.20210,455385106
2021-04-17,0.20216,0.24000,0.20129,0.21553,538677432
2021-04-18,0.21558,0.24814,0.14668,0.19674,896574612
2021-04-19,0.19678,0.21000,0.17675,0.18320,300677967
2021-04-20,0.18324,0.19349,0.16050,0.18212,259478842
2021-04-21,0.18211,0.19072,0.17059,0.17251,185339990
2021-04-22,0.17254,0.17832,0.14852,0.15289,250912996
2021-04-23,0.15284,0.15685,0.10750,0.14468,565775569
2021-04-24,0.14465,0.14651,0.12975,0.13075,229760054
2021-04-25,0.13076,0.14372,0.12118,0.12992,183824461
2021-04-26,0.12995,0.16717,0.12836,0.15698,364157228
2021-04-27,0.15706,0.17929,0.15358,0.17059,302571950
2021-04-28,0.17059,0.17782,0.15726,0.16410,163470632
2021-04-29,0.16424,0.17134,0.15715,0.16394,125885053
2021-04-30,0.16392,0.17574,0.16005,0.17180,115721704
2021-05-01,0.17182,0.19860,0.17062,0.18446,410812546
2021-05-02,0.18461,0.20447,0.17196,0.18867,569214241
2021-05-03,0.18868,0.19709,0.18062,0.18364,197887946
2021-05-04,0.18374,0.18393,0.15911,0.16089,217920024
2021-05-05,0.16088,0.17946,0.15791,0.17543,196737119
2021-05-06,0.17545,0.18938,0.16784,0.18193,358589328
2021-05-07,0.18193,0.18501,0.16900,0.17463,206600519
