date,open,high,low,close,volume
2021-06-11,15.279,18.000,11.728,11.956,4758782.9
2021-06-12,11.960,12.200,10.559,11.219,3729245.6
2021-06-13,11.206,11.268,9.525,10.459,4542564.3
2021-06-14,10.461,12.083,9.971,10.395,3024666.3
2021-06-15,10.399,11.099,10.172,10.698,2212576.1
2021-06-16,10.708,11.190,8.942,9.188,2544230.6
2021-06-17,9.183,9.711,8.225,8.437,2375942.2
2021-06-18,8.417,8.881,7.616,7.980,2977746.8
2021-06-19,7.999,8.400,7.824,7.982,1577829.2
2021-06-20,7.983,8.110,6.697,7.433,3105346.2
2021-06-21,7.437,7.680,5.402,5.512,4365118.5
2021-06-22,5.524,6.119,4.619,5.252,3574136.6
2021-06-23,5.254,6.255,5.071,5.719,2462597.8
2021-06-24,5.722,6.114,5.249,5.690,1995794.7
2021-06-25,5.696,6.740,5.576,5.735,5217350.6
2021-06-26,5.728,6.172,5.282,5.792,3136452.5
2021-06-27,5.792,7.271,5.575,7.183,6266028.4
2021-06-28,7.194,7.950,7.130,7.435,9147037.6
2021-06-29,7.444,8.956,7.343,8.468,4525410.7
2021-06-30,8.464,8.760,7.200,7.738,3096384.1
2021-07-01,7.726,7.759,6.681,7.032,4152903.2
2021-07-02,7.033,7.340,6.384,6.844,2793387.4
2021-07-03,6.849,7.696,6.683,7.360,2929777.9
2021-07-04,7.367,7.785,6.955,7.244,1957200.5
2021-07-05,7.244,7.277,6.600,6.844,2204877.9
2021-07-06,6.838,7.413,6.829,7.141,1704140.8
2021-07-07,7.133,7.450,6.958,6.983,1506503.7
2021-07-08,6.980,6.991,6.211,6.493,1917633.1
2021-07-09,6.488,6.696,6.134,6.466,1570827.1
2021-07-10,6.469,6.733,6.153,6.305,1422207.4
2021-07-11,6.305,6.524,6.262,6.360,950197.2
2021-07-12,6.357,6.442,5.869,6.100,882843.4
2021-07-13,6.105,6.179,5.550,5.743,2183826.3
2021-07-14,5.749,5.950,5.331,5.756,1378763.9
2021-07-15,5.756,5.963,5.200,5.395,1789995.3
2021-07-16,5.400,5.550,5.016,5.040,1093954.7
2021-07-17,5.036,6.185,4.820,6.041,5715072.2
2021-07-18,6.040,6.795,5.683,5.814,15851590.8
2021-07-19,5.817,5.883,4.974,5.044,5250998.3
2021-07-20,5.047,5.560,4.776,5.387,10250000.8
2021-07-21,5.388,5.926,5.206,5.905,5710727.7
2021-07-22,5.907,6.060,5.558,5.854,2846113.7
2021-07-23,5.854,5.988,5.470,5.798,2103633.4
2021-07-24,5.804,6.721,5.753,6.677,3654390.2
2021-07-25,6.671,6.749,6.057,6.312,5157855.5
2021-07-26,6.315,7.895,6.240,6.689,6159321.1
2021-07-27,6.692,6.956,6.324,6.719,3403309.9
2021-07-28,6.720,7.026,6.509,6.692,2228717.3
2021-07-29,6.692,6.849,6.454,6.801,2252578.8
2021-07-30,6.801,7.111,6.426,6.862,2907065.3
2021-07-31,6.869,7.360,6.576,7.187,2622353.8
2021-08-01,7.187,8.874,7.126,8.085,15408276.0
2021-08-02,8.088,8.396,7.763,7.854,5214016.9
2021-08-03,7.855,8.049,7.205,7.393,3102572.9
2021-08-04,7.392,7.981,7.235,7.835,1878608.3
2021-08-05,7.831,8.028,7.303,7.826,1686233.4
2021-08-06,7.824,9.141,7.521,8.832,4683504.0
2021-08-07,8.835,9.577,8.369,9.152,5201983.7
2021-08-08,9.153,9.486,8.375,8.500,4725262.9
2021-08-09,8.498,9.135,8.063,8.844,3307063.2
2021-08-10,8.839,9.070,8.351,8.690,3733927.3
2021-08-11,8.693,9.699,8.643,8.918,3826646.6
2021-08-12,8.932,9.367,8.101,8.527,3432316.5
2021-08-13,8.524,9.003,8.300,8.986,2297975.8
2021-08-14,8.991,9.370,8.730,9.119,5128480.8
2021-08-15,9.117,9.379,8.538,9.279,4653828.6
2021-08-16,9.274,9.654,9.000,9.047,4723952.8
2021-08-17,9.055,9.600,8.241,8.403,4606589.2
2021-08-18,8.397,8.516,7.548,7.621,3619993.2
2021-08-19,7.612,8.179,7.526,8.153,3376002.7
2021-08-20,8.161,8.591,8.019,8.330,2798522.4
2021-08-21,8.330,8.728,8.090,8.239,2647054.2
2021-08-22,8.240,9.044,8.201,8.935,4624225.2
2021-08-23,8.940,9.798,8.746,9.314,5854859.8
2021-08-24,9.315,9.582,7.850,8.353,5506621.7
2021-08-25,8.353,12.200,8.100,11.719,13076868.3
2021-08-26,11.710,13.270,10.010,10.168,22428261.0
2021-08-27,10.172,11.009,9.625,10.503,6113902.6
2021-08-28,10.505,14.325,10.122,13.939,12450188.3
2021-08-29,13.931,15.509,12.732,12.969,17941924.0
2021-08-30,12.972,13.271,11.655,11.726,4541644.6
2021-08-31,11.724,12.922,11.370,11.795,2848984.3
2021-09-01,11.788,12.677,11.450,12.301,3467166.5
2021-09-02,12.305,13.200,12.153,12.324,2960673.0
2021-09-03,12.326,12.838,12.018,12.325,3117022.7
2021-09-04,12.327,13.223,11.766,11.876,3589291.5
2021-09-05,11.879,12.503,11.800,12.141,2229390.8
2021-09-06,12.142,12.634,10.440,12.260,5849307.7
2021-09-07,12.255,12.533,6.810,9.183,9312196.2
2021-09-08,9.185,10.387,8.227,9.468,5319800.3
2021-09-09,9.478,10.500,9.340,9.805,3561555.2
2021-09-10,9.812,9.995,8.613,8.901,2009416.3
2021-09-11,8.907,9.557,8.711,8.870,1595374.6
2021-09-12,8.869,9.700,8.623,9.471,2277125.5
2021-09-13,9.475,9.600,8.322,9.004,2394756.8
2021-09-14,9.007,9.493,8.778,9.172,1991258.2
2021-09-15,9.172,10.180,9.098,10.067,2616942.4
2021-09-16,10.068,10.434,9.306,9.546,3978444.2
2021-09-17,9.546,9.636,8.859,9.042,2364228.7
2021-09-18,9.052,9.723,8.819,9.038,3763549.8
2021-09-19,9.046,9.088,8.517,8.712,2089170.3
2021-09-20,8.713,8.735,6.897,7.321,4114234.5
2021-09-21,7.323,7.873,6.606,6.874,4016710.7
2021-09-22,6.877,7.961,6.716,7.933,2742911.8
2021-09-23,7.942,8.449,7.693,8.250,2689251.8
2021-09-24,8.249,8.285,6.771,7.084,5233054.0
2021-09-25,7.082,7.148,6.610,6.891,4577015.1
2021-09-26,6.888,7.190,6.181,6.959,3650971.8
2021-09-27,6.955,7.273,6.565,6.586,2683541.2
