date,open,high,low,close,volume
2021-11-30,70.850,78.342,66.045,70.009,558847.7
2021-12-01,70.000,75.055,63.292,64.834,662288.5
2021-12-02,64.834,64.883,58.565,61.717,761347.8
2021-12-03,61.782,63.338,49.937,54.280,1064599.4
2021-12-04,54.298,54.999,38.102,50.826,1424403.1
2021-12-05,50.801,54.779,45.439,49.252,1445367.4
2021-12-06,49.255,51.496,42.255,51.346,1150697.5
2021-12-07,51.360,53.999,48.693,50.689,949158.8
2021-12-08,50.689,52.419,47.273,49.338,689957.7
2021-12-09,49.348,50.744,44.644,44.919,701314.4
2021-12-10,44.947,46.800,42.419,42.597,610646.7
2021-12-11,42.576,49.174,41.575,47.472,1491242.7
2021-12-12,47.482,47.624,44.067,46.988,1020299.1
2021-12-13,46.999,47.186,39.333,39.921,987957.7
2021-12-14,39.931,41.714,37.702,39.815,1137229.3
2021-12-15,39.862,44.330,37.019,42.448,1372103.7
2021-12-16,42.455,47.900,42.264,44.360,1897299.2
2021-12-17,44.342,46.675,40.100,42.170,1528978.3
2021-12-18,42.150,44.000,40.493,42.614,755030.8
2021-12-19,42.629,43.758,40.549,40.843,620080.3
2021-12-20,40.827,41.644,37.300,40.416,958844.8
2021-12-21,40.419,42.130,39.670,40.945,776104.4
2021-12-22,40.936,46.240,40.713,45.103,1460234.4
2021-12-23,45.136,49.820,42.778,49.507,1928252.3
2021-12-24,49.522,49.593,44.667,45.642,962457.6
2021-12-25,45.643,48.180,44.862,46.454,1013395.7
2021-12-26,46.454,46.851,43.882,45.718,912436.6
2021-12-27,45.730,48.200,44.100,44.458,1167887.7
2021-12-28,44.462,44.482,38.923,39.687,1739700.9
2021-12-29,39.682,40.880,37.802,38.599,1155337.0
2021-12-30,38.580,40.976,37.950,39.088,1181269.5
2021-12-31,39.086,41.884,38.157,38.933,1124668.8
2022-01-01,38.946,40.415,38.693,40.169,834072.5
2022-01-02,40.182,41.700,39.550,41.085,974072.9
2022-01-03,41.049,41.194,38.400,39.300,845290.1
2022-01-04,39.317,41.654,38.500,38.666,1269337.7
2022-01-05,38.667,39.950,31.255,33.780,2120910.7
2022-01-06,33.791,34.485,31.485,33.171,1549395.3
2022-01-07,33.158,33.266,28.212,30.057,2200904.2
2022-01-08,30.046,30.861,26.415,27.741,1696324.7
2022-01-09,27.749,29.488,26.878,28.024,1429658.8
2022-01-10,28.022,28.740,24.383,25.373,2191658.1
2022-01-11,25.370,27.113,25.107,26.756,1423520.3
2022-01-12,26.757,28.872,26.200,27.966,1420684.3
2022-01-13,27.966,28.292,25.515,25.679,1487314.8
2022-01-14,25.671,26.677,24.819,26.267,1434518.5
2022-01-15,26.268,27.785,25.992,26.642,1726257.7
2022-01-16,26.644,28.330,25.608,27.662,1912151.6
2022-01-17,27.664,27.869,23.873,24.286,2075279.4
2022-01-18,24.284,24.634,22.377,23.380,2145167.0
2022-01-19,23.389,23.491,21.209,22.155,2116949.6
2022-01-20,22.155,24.511,20.875,21.082,2439193.3
2022-01-21,21.080,21.565,17.214,17.841,3213813.5
2022-01-22,17.831,18.356,15.034,16.047,3171938.3
2022-01-23,16.052,17.423,15.760,17.117,2043334.8
2022-01-24,17.108,17.110,14.386,16.448,2564580.0
2022-01-25,16.430,16.982,15.712,16.527,1742078.1
2022-01-26,16.526,19.479,16.294,16.997,4927529.8
2022-01-27,17.000,17.374,15.772,16.800,1621331.1
2022-01-28,16.797,18.041,16.013,17.847,3352883.5
2022-01-29,17.840,20.880,17.740,20.067,5566432.6
2022-01-30,20.065,20.741,18.586,19.021,3198072.7
2022-01-31,19.018,21.187,17.591,20.165,3148111.0
2022-02-01,20.167,21.197,19.262,19.369,2486230.6
2022-02-02,19.367,19.648,17.622,17.971,2047972.5
2022-02-03,17.982,18.400,17.319,18.388,1939058.7
2022-02-04,18.386,20.797,18.061,20.609,1840616.9
2022-02-05,20.606,22.000,19.720,20.029,1848070.0
2022-02-06,20.026,20.889,19.150,20.823,2403507.5
2022-02-07,20.829,22.880,19.680,21.795,3152515.4
2022-02-08,21.799,23.463,19.212,20.093,3222890.9
2022-02-09,20.082,21.379,19.360,21.251,2415569.4
2022-02-10,21.253,21.560,18.800,18.921,2753993.8
2022-02-11,18.921,19.185,16.700,17.212,2123240.5
2022-02-12,17.207,17.653,16.334,17.021,1805278.9
2022-02-13,17.027,17.871,16.602,16.771,1786821.2
2022-02-14,16.775,17.230,16.035,17.025,1541679.2
2022-02-15,17.029,18.485,16.934,18.416,1800960.1
2022-02-16,18.416,18.563,17.200,17.639,1642052.4
2022-02-17,17.638,17.967,15.555,15.750,2528396.3
2022-02-18,15.756,16.310,15.304,15.724,1948675.7
2022-02-19,15.725,16.808,15.216,16.050,2593912.1
2022-02-20,16.047,16.155,14.722,15.202,2609808.1
2022-02-21,15.197,16.357,13.800,13.892,3146289.2
2022-02-22,13.901,14.859,13.260,14.823,3144500.7
2022-02-23,14.808,15.474,14.132,14.236,2226541.2
2022-02-24,14.234,14.415,11.876,13.721,3892917.5
2022-02-25,13.721,14.949,13.333,14.867,2089170.4
2022-02-26,14.868,15.162,13.941,14.066,1717429.6
2022-02-27,14.070,14.340,12.883,13.195,2204058.6
2022-02-28,13.194,15.716,13.003,15.346,2074885.6
