date,open,high,low,close,volume
2021-05-19,5.4541,5.9073,3.1064,4.0244,9623962
2021-05-20,4.0256,5.4331,3.3302,4.9231,10820348
2021-05-21,4.9246,5.2427,2.9706,3.6863,14498988
2021-05-22,3.6919,3.8362,3.0087,3.0830,12342151
2021-05-23,3.0828,3.2156,1.8651,2.3555,35468341
2021-05-24,2.3551,3.5500,2.3267,3.3334,38495518
2021-05-25,3.3337,3.8358,3.0000,3.5192,23770397
2021-05-26,3.5189,4.4645,3.4218,4.4632,19509631
2021-05-27,4.4535,5.1600,3.7288,4.8398,32356764
2021-05-28,4.8399,5.1554,3.9503,4.4512,56746567
2021-05-29,4.4501,4.7900,3.6964,4.0874,28650734
2021-05-30,4.0817,4.2976,3.6682,4.0685,24115988
2021-05-31,4.0642,4.2324,3.6312,4.1428,21778525
2021-06-01,4.1425,4.4526,3.9026,4.0490,16458624
2021-06-02,4.0490,4.4389,3.8977,4.1900,12675677
2021-06-03,4.1899,4.6196,4.1103,4.4920,14000346
2021-06-04,4.4988,4.5250,3.7104,3.8936,15675476
2021-06-05,3.8894,4.1932,3.6659,3.8052,12120294
2021-06-06,3.8053,3.8978,3.5672,3.7608,10560312
2021-06-07,3.7607,3.9445,3.1963,3.2653,16751034
2021-06-08,3.2611,3.3932,2.6782,3.0202,37004343
2021-06-09,3.0202,3.3246,2.8070,3.2900,23750719
2021-06-10,3.2900,3.3330,2.8364,2.9507,17206726
2021-06-11,2.9503,3.6587,2.8089,3.1804,41551262
2021-06-12,3.1804,3.2240,2.8243,3.0069,32705761
2021-06-13,3.0081,3.3281,2.9030,3.1900,15653134
2021-06-14,3.1907,3.4021,3.1296,3.3467,15599523
2021-06-15,3.3449,3.4844,3.1706,3.2534,14386837
2021-06-16,3.2517,3.2530,2.9450,3.0267,16613935
2021-06-17,3.0270,3.2342,3.0127,3.1273,14819287
2021-06-18,3.1278,3.1850,2.7906,2.9222,17801593
2021-06-19,2.9222,2.9600,2.8000,2.8694,11939279
2021-06-20,2.8700,2.9300,2.5728,2.8408,16069751
2021-06-21,2.8403,2.8646,2.0277,2.0810,35298491
2021-06-22,2.0796,2.3364,1.5663,1.8355,53985039
2021-06-23,1.8370,2.5460,1.7567,2.5186,67745598
2021-06-24,2.5187,2.6677,2.1632,2.2407,60175476
2021-06-25,2.2419,2.3379,1.8400,1.9130,49143786
2021-06-26,1.9127,1.9560,1.7122,1.8549,33576139
2021-06-27,1.8524,1.9589,1.7295,1.9380,29897477
2021-06-28,1.9360,1.9617,1.7829,1.8601,33303447
2021-06-29,1.8605,2.1967,1.8291,2.0243,45464907
2021-06-30,2.0261,2.0543,1.8150,1.9390,34834071
2021-07-01,1.9390,1.9416,1.7548,1.8020,25622640
2021-07-02,1.8007,1.8280,1.6652,1.7559,27292843
2021-07-03,1.7545,1.8864,1.7254,1.8219,21815836
2021-07-04,1.8220,2.1385,1.7928,2.0170,45141367
2021-07-05,2.0159,2.0169,1.8000,1.8464,38356173
2021-07-06,1.8473,2.0669,1.8400,2.0145,43206057
2021-07-07,2.0153,2.4481,1.9572,2.1960,88210951
2021-07-08,2.1963,2.3890,1.9646,1.9960,107584189
2021-07-09,1.9967,2.1422,1.8552,2.0769,53606693
2021-07-10,2.0766,2.1977,1.9336,1.9943,43334333
2021-07-11,1.9955,2.0806,1.9000,2.0153,28838152
2021-07-12,2.0154,2.1673,1.9111,1.9741,39954489
2021-07-13,1.9740,2.0198,1.8656,1.9086,26484371
2021-07-14,1.9106,1.9478,1.7522,1.8940,32531190
2021-07-15,1.8948,2.3878,1.8908,2.2471,157131865
2021-07-16,2.2453,2.3851,1.9310,1.9400,107624376
2021-07-17,1.9412,1.9686,1.8196,1.8778,44862745
2021-07-18,1.8779,1.9790,1.8114,1.8592,30780094
2021-07-19,1.8600,1.8705,1.6296,1.6743,33155242
2021-07-20,1.6746,1.7000,1.4380,1.5720,48998917
2021-07-21,1.5716,1.7528,1.5320,1.7026,43496461
2021-07-22,1.7026,1.7764,1.6432,1.7240,39759767
2021-07-23,1.7238,1.8550,1.6457,1.8323,33337392
2021-07-24,1.8342,2.0798,1.7831,1.9483,64657918
2021-07-25,1.9482,2.0638,1.8390,1.9771,48654874
2021-07-26,1.9765,2.2194,1.8954,1.9184,61419264
2021-07-27,1.9191,1.9841,1.7953,1.9585,40489553
2021-07-28,1.9577,2.0161,1.8736,1.9151,35561775
2021-07-29,1.9152,1.9518,1.8519,1.9148,29453635
2021-07-30,1.9148,1.9736,1.8137,1.9550,27842501
2021-07-31,1.9541,2.0800,1.8770,2.0165,47388104
2021-08-01,2.0165,2.2085,1.9634,2.0051,67187755
2021-08-02,2.0053,2.0547,1.9193,1.9999,40571648
2021-08-03,1.9996,2.0389,1.8712,1.9240,28183255
2021-08-04,1.9239,2.0576,1.8953,2.0517,33170064
2021-08-05,2.0511,2.2006,1.9438,2.1518,47401641
2021-08-06,2.1515,2.2758,2.0527,2.2413,62497746
2021-08-07,2.2408,2.4360,2.1730,2.3517,68552170
2021-08-08,2.3518,2.4000,2.1116,2.1620,50991304
2021-08-09,2.1621,2.4150,2.0900,2.3356,55635900
2021-08-10,2.3356,2.5300,2.2841,2.4672,65654473
2021-08-11,2.4671,2.6950,2.4554,2.5038,54377002
2021-08-12,2.5037,2.6240,2.2624,2.3845,47338838
2021-08-13,2.3851,2.5993,2.3630,2.5880,36661297
2021-08-14,2.5872,2.7000,2.4113,2.6861,55851691
