date,open,high,low,close,volume
2020-02-12,0.3380,0.3725,0.3218,0.3306,25630878.8
2020-02-13,0.3315,0.3489,0.3033,0.3227,29301543.1
2020-02-14,0.3226,0.3289,0.3109,0.3242,21486527.0
2020-02-15,0.3245,0.3269,0.2781,0.2875,18981443.4
2020-02-16,0.2876,0.2976,0.1798,0.2775,14929658.1
2020-02-17,0.2775,0.2863,0.2528,0.2831,10481882.6
2020-02-18,0.2833,0.2933,0.2653,0.2906,11115592.7
2020-02-19,0.2906,0.2946,0.2485,0.2666,8257363.5
2020-02-20,0.2665,0.2717,0.2526,0.2654,6719465.8
2020-02-21,0.2650,0.2750,0.2629,0.2681,6929361.0
2020-02-22,0.2681,0.2737,0.2600,0.2702,6285019.8
2020-02-23,0.2702,0.2855,0.2700,0.2785,6109610.9
2020-02-24,0.2785,0.2808,0.2477,0.2622,8093321.5
2020-02-25,0.2625,0.2634,0.2455,0.2482,7605390.3
2020-02-26,0.2478,0.2502,0.2066,0.2159,13568333.1
2020-02-27,0.2160,0.2295,0.2025,0.2150,8524737.3
2020-02-28,0.2152,0.2207,0.2029,0.2155,4818995.3
2020-02-29,0.2155,0.2211,0.2115,0.2127,4515851.5
2020-03-01,0.2127,0.2219,0.2057,0.2101,3799723.6
2020-03-02,0.2100,0.2266,0.2084,0.2244,4608701.6
2020-03-03,0.2245,0.2282,0.2181,0.2239,3925245.3
2020-03-04,0.2238,0.2258,0.2168,0.2224,3214156.6
2020-03-05,0.2227,0.2376,0.2224,0.2276,6797011.1
2020-03-06,0.2276,0.2341,0.2239,0.2328,3414170.3
2020-03-07,0.2330,0.2376,0.2197,0.2234,5423214.1
2020-03-08,0.2232,0.2234,0.1880,0.1918,6854768.3
2020-03-09,0.1917,0.1989,0.1779,0.1918,7393990.8
2020-03-10,0.1921,0.1998,0.1866,0.1980,8294932.5
2020-03-11,0.1976,0.2017,0.1823,0.1949,7098789.6
2020-03-12,0.1950,0.1960,0.1063,0.1085,16066767.6
2020-03-13,0.1079,0.1410,0.0733,0.1291,11933314.4
2020-03-14,0.1291,0.1302,0.1176,0.1235,7322536.1
2020-03-15,0.1240,0.1329,0.1178,0.1213,6311992.3
2020-03-16,0.1215,0.1215,0.0898,0.1082,13544000.6
2020-03-17,0.1081,0.1254,0.1066,0.1198,7355313.2
2020-03-18,0.1198,0.1285,0.1115,0.1258,7196853.7
2020-03-19,0.1260,0.1595,0.1227,0.1483,11274459.7
2020-03-20,0.1480,0.1637,0.1250,0.1411,14282017.0
2020-03-21,0.1410,0.1476,0.1299,0.1380,6816315.4
2020-03-22,0.1381,0.1427,0.1250,0.1257,7784853.2
2020-03-23,0.1254,0.1436,0.1221,0.1429,3540130.3
2020-03-24,0.1432,0.1454,0.1370,0.1442,2498592.2
2020-03-25,0.1440,0.1466,0.1365,0.1406,2258917.6
2020-03-26,0.1405,0.1455,0.1381,0.1451,2063712.7
2020-03-27,0.1452,0.1491,0.1354,0.1361,3207187.5
2020-03-28,0.1357,0.1400,0.1309,0.1388,5169594.8
2020-03-29,0.1388,0.1391,0.1304,0.1312,2839042.1
