date,open,high,low,close,volume
2021-03-17,0.30000,0.38418,0.29500,0.36091,98054129
2021-03-18,0.36092,0.37700,0.33104,0.34508,46416741
2021-03-19,0.34493,0.36492,0.33213,0.34458,45200593
2021-03-20,0.34456,0.35195,0.31573,0.31725,49792249
2021-03-21,0.31795,0.35984,0.31000,0.34223,73616925
2021-03-22,0.34165,0.35541,0.30300,0.31466,67084269
2021-03-23,0.31424,0.33849,0.30000,0.31981,56725662
2021-03-24,0.31997,0.34131,0.28467,0.29792,55630570
2021-03-25,0.29792,0.31506,0.28037,0.30185,50755081
2021-03-26,0.30230,0.34867,0.30103,0.34675,50972710
2021-03-27,0.34688,0.35778,0.32053,0.33907,54304249
2021-03-28,0.33902,0.35021,0.32548,0.33898,49705677
2021-03-29,0.33936,0.43900,0.33564,0.37176,264073088
2021-03-30,0.37217,0.41500,0.36288,0.38663,130913615
2021-03-31,0.38657,0.38909,0.33244,0.36196,110039602
2021-04-01,0.36225,0.36611,0.33570,0.34593,82890150
2021-04-02,0.34623,0.35700,0.33533,0.35339,73405270
2021-04-03,0.35327,0.35550,0.30500,0.31240,103310385
2021-04-04,0.31248,0.33796,0.30681,0.32518,60847142
2021-04-05,0.32561,0.32960,0.30500,0.31884,84112185
2021-04-06,0.31883,0.33900,0.30351,0.32676,115915048
2021-04-07,0.32683,0.32972,0.28000,0.30012,119987327
2021-04-08,0.30010,0.32882,0.29728,0.32805,76700015
2021-04-09,0.32846,0.36700,0.32813,0.33854,157375705
2021-04-10,0.33885,0.34654,0.32033,0.33237,84062865
2021-04-11,0.33216,0.38478,0.33199,0.34916,178369601
2021-04-12,0.34960,0.36651,0.33000,0.35840,123399396
2021-04-13,0.35840,0.41228,0.33670,0.40979,147137600
2021-04-14,0.40980,0.41894,0.35968,0.37527,260007056
2021-04-15,0.37532,0.38593,0.36397,0.38106,157927514
2021-04-16,0.38127,0.38366,0.32800,0.35001,166762774
2021-04-17,0.35024,0.37320,0.34000,0.34266,114358414
2021-04-18,0.34275,0.34648,0.22052,0.30973,251379633
2021-04-19,0.30976,0.32345,0.26728,0.28864,196311425
2021-04-20,0.28861,0.34550,0.26364,0.32429,249058781
2021-04-21,0.32428,0.32556,0.28837,0.29136,135335560
2021-04-22,0.29155,0.30563,0.25011,0.25817,162598850
2021-04-23,0.25804,0.26939,0.19776,0.26831,247119336
2021-04-24,0.26859,0.26925,0.23800,0.24391,90047246
2021-04-25,0.24414,0.26636,0.23222,0.24658,83583560
2021-04-26,0.24648,0.29159,0.24238,0.28488,114720317
2021-04-27,0.28488,0.31549,0.27875,0.30387,111169728
2021-04-28,0.30414,0.31031,0.27500,0.28735,93659499
2021-04-29,0.28755,0.31438,0.27200,0.28676,120770924
2021-04-30,0.28664,0.30525,0.27900,0.30042,85147188
2021-05-01,0.30047,0.33734,0.28265,0.32761,164424175
2021-05-02,0.32744,0.34628,0.29440,0.32973,163886190
